Disease_UMLS,Disease_CUI,Symptom,Symptom_CUI
"porfiria, acuta intermittente",C0162565,tachicardia,C0039239
"porfiria, acuta intermittente",C0162565,dolore addominale,C0000737
"porfiria, acuta intermittente",C0162565,perdita forza muscolare,C0235704
"porfiria, acuta intermittente",C0162565,perdita sensibilità al dolore,C0030554
"porfiria, acuta intermittente",C0162565,formicolio,C0030552
"porfiria, acuta intermittente",C0162565,pressione alta,C0020538
"porfiria, cutanea tarda",C0162566,aumento della pelosità,C0020555
"porfiria, cutanea tarda",C0162566,vesciche,C0005758
fibrillazione atriale,C0004238,palpitazioni,C0030252
fibrillazione atriale,C0004238,battito accelerato,C1868917
fibrillazione atriale,C0004238,polso irregolare,C0392684
fibrillazione atriale,C0004238,vertigini,C0012833
fibrillazione atriale,C0004238,paura,C0003467
fibrillazione atriale,C0004238,mal di stomaco,C0857217
fibrillazione atriale,C0004238,difficoltà nel respirare,C0013404
fibrillazione atriale,C0004238,paura,C0003467
fibrillazione atriale,C0004238,urine frequenti,C0032617
fibrillazione atriale,C0004238,palpitazioni,C0030252
fibrillazione atriale,C0004238,vertigini,C0012833
fibrillazione atriale,C0004238,perdita di coscienza ,C0039070
insufficienza cardiaca sinistra,C0023212,difficoltà nel respirare,C0013404
insufficienza cardiaca sinistra,C0023212,difficoltà nel respirare,C0231807
insufficienza cardiaca sinistra,C0023212,difficoltà nel respirare  e dormire da distesi,C0085619
insufficienza cardiaca sinistra,C0023212,aumento della frequenza respiratoria,C0231835
insufficienza cardiaca sinistra,C0023212,tosse notturna,C0231912
insufficienza cardiaca sinistra,C0023212,reflusso,C1956414
insufficienza cardiaca sinistra,C0023212,cianosi - colorito bluastro-violaceo di pelle,C0010520
insufficienza cardiaca sinistra,C0023212,liquido nei polmoni,C0034063
insufficienza cardiaca sinistra,C0023212,liquido nella cavità pleurica,C0032227
insufficienza cardiaca sinistra,C0023212,liquido nei polmoni,C0034063
